performanceRatingOverall,ticker,regularMarketChange,netExpenseRatio,trailing3mReturn,companyName,twoHundredDayMovingAvg,fundNetAssets,grossExpenseRatio,regularMarketChangePercent,annualReturnNavY1,fiftyTwoWeekChangePercent,regularMarketPrice,fiftyTwoWeekLow,trailingYtdReturn,annualReturnNavY3,annualReturnNavY5,riskRatingOverall,exchange,region,fiftyDayMovingAvg,fiftyTwoWeekHigh
4.0,0P0000UR7Y.TO,"{'raw': 0.40119934, 'fmt': '0.40'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 36.59206, 'fmt': '36.59%'}",Dynamic Strategic Resource Class A,"{'raw': 16.96459, 'fmt': '16.96'}","{'raw': 76939000.0, 'fmt': '76.939M', 'longFmt': '76,939,000'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8115373, 'fmt': '1.81%'}","{'raw': 2.72023, 'fmt': '2.72%'}","{'raw': 43.341827, 'fmt': '43.34%'}","{'raw': 22.5481, 'fmt': '22.55'}","{'raw': 12.9397, 'fmt': '12.94'}","{'raw': 52.28843, 'fmt': '52.29%'}","{'raw': 15.27776, 'fmt': '15.28%'}","{'raw': 3.30071, 'fmt': '3.30%'}",3.0,TOR,ca,"{'raw': 21.330078, 'fmt': '21.33'}","{'raw': 25.4265, 'fmt': '25.43'}"
,0P00018TKU.TO,"{'raw': 0.36919975, 'fmt': '0.37'}","{'raw': 0.0, 'fmt': '0.00'}",,0P00018TKU.TO,"{'raw': 15.745198, 'fmt': '15.75'}","{'raw': 20244137.0, 'fmt': '20.244M', 'longFmt': '20,244,137'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8064024, 'fmt': '1.81%'}",,"{'raw': 47.736134, 'fmt': '47.74%'}","{'raw': 20.8076, 'fmt': '20.81'}","{'raw': 12.8578, 'fmt': '12.86'}",,,,,TOR,ca,"{'raw': 19.033995, 'fmt': '19.03'}","{'raw': 23.0638, 'fmt': '23.06'}"
0.0,0P0001CN00.TO,"{'raw': 0.45899963, 'fmt': '0.46'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 27.60504, 'fmt': '27.61%'}",BMG Silver BullionFund,"{'raw': 19.60137, 'fmt': '19.60'}","{'raw': 20244137.0, 'fmt': '20.244M', 'longFmt': '20,244,137'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8056492, 'fmt': '1.81%'}","{'raw': 28.39584, 'fmt': '28.40%'}","{'raw': 47.718227, 'fmt': '47.72%'}","{'raw': 25.8792, 'fmt': '25.88'}","{'raw': 15.9934, 'fmt': '15.99'}","{'raw': 58.32311, 'fmt': '58.32%'}","{'raw': 7.49957, 'fmt': '7.50%'}","{'raw': 38.76459, 'fmt': '38.76%'}",0.0,TOR,ca,"{'raw': 23.673729, 'fmt': '23.67'}","{'raw': 28.6857, 'fmt': '28.69'}"
0.0,0P00018TKT.TO,"{'raw': 0.3348999, 'fmt': '0.33'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 27.27217, 'fmt': '27.27%'}",BMG Silver BullionFund Class A,"{'raw': 14.376608, 'fmt': '14.38'}","{'raw': 20244137.0, 'fmt': '20.244M', 'longFmt': '20,244,137'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8030478, 'fmt': '1.80%'}","{'raw': 27.07445, 'fmt': '27.07%'}","{'raw': 46.219814, 'fmt': '46.22%'}","{'raw': 18.909, 'fmt': '18.91'}","{'raw': 11.7909, 'fmt': '11.79'}","{'raw': 56.96467, 'fmt': '56.96%'}","{'raw': 6.5146, 'fmt': '6.51%'}","{'raw': 37.75754, 'fmt': '37.76%'}",0.0,TOR,ca,"{'raw': 17.313658, 'fmt': '17.31'}","{'raw': 20.9681, 'fmt': '20.97'}"
4.0,0P00013W9M.TO,"{'raw': 0.8378029, 'fmt': '0.84'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 12.81247, 'fmt': '12.81%'}",AGF US Small-Mid Cap Series Q,"{'raw': 40.580738, 'fmt': '40.58'}","{'raw': 459604134.0, 'fmt': '459.604M', 'longFmt': '459,604,134'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.7972472, 'fmt': '1.80%'}","{'raw': 41.01272, 'fmt': '41.01%'}","{'raw': 16.11371, 'fmt': '16.11%'}","{'raw': 47.4537, 'fmt': '47.45'}","{'raw': 31.276, 'fmt': '31.28'}","{'raw': 12.13619, 'fmt': '12.14%'}","{'raw': -16.52477, 'fmt': '-16.52%'}","{'raw': 41.91902, 'fmt': '41.92%'}",4.0,TOR,ca,"{'raw': 44.922386, 'fmt': '44.92'}","{'raw': 47.4537, 'fmt': '47.45'}"
,0P0001DCJ8.TO,"{'raw': 0.43330002, 'fmt': '0.43'}","{'raw': 0.0, 'fmt': '0.00'}",,0P0001DCJ8.TO,"{'raw': 21.006262, 'fmt': '21.01'}","{'raw': 459604134.0, 'fmt': '459.604M', 'longFmt': '459,604,134'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.7971722, 'fmt': '1.80%'}",,"{'raw': 16.083408, 'fmt': '16.08%'}","{'raw': 24.5434, 'fmt': '24.54'}","{'raw': 16.1761, 'fmt': '16.18'}",,,,,TOR,ca,"{'raw': 23.234173, 'fmt': '23.23'}","{'raw': 24.5434, 'fmt': '24.54'}"
,0P000075L7.TO,"{'raw': 2.3940125, 'fmt': '2.39'}","{'raw': 0.0, 'fmt': '0.00'}",,0P000075L7.TO,"{'raw': 116.57382, 'fmt': '116.57'}","{'raw': 459604134.0, 'fmt': '459.604M', 'longFmt': '459,604,134'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.7962953, 'fmt': '1.80%'}",,"{'raw': 14.98065, 'fmt': '14.98%'}","{'raw': 135.669, 'fmt': '135.67'}","{'raw': 89.6979, 'fmt': '89.70'}",,,,,TOR,ca,"{'raw': 128.52493, 'fmt': '128.52'}","{'raw': 135.669, 'fmt': '135.67'}"
3.0,0P000072KR.TO,"{'raw': 1.7766037, 'fmt': '1.78'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 12.32498, 'fmt': '12.32%'}",AGF US Small-Mid Cap,"{'raw': 86.719925, 'fmt': '86.72'}","{'raw': 459604134.0, 'fmt': '459.604M', 'longFmt': '459,604,134'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.795594, 'fmt': '1.80%'}","{'raw': 37.8729, 'fmt': '37.87%'}","{'raw': 13.554525, 'fmt': '13.55%'}","{'raw': 100.719, 'fmt': '100.72'}","{'raw': 66.8296, 'fmt': '66.83'}","{'raw': 10.1024, 'fmt': '10.10%'}","{'raw': -18.63518, 'fmt': '-18.64%'}","{'raw': 38.43613, 'fmt': '38.44%'}",4.0,TOR,ca,"{'raw': 95.50887, 'fmt': '95.51'}","{'raw': 100.719, 'fmt': '100.72'}"
,0P0001QZ1X.TO,"{'raw': 0.48490143, 'fmt': '0.48'}","{'raw': 0.0, 'fmt': '0.00'}",,IG Mackenzie Global Consumer ComsF,"{'raw': 27.10297, 'fmt': '27.10'}","{'raw': 171810060.0, 'fmt': '171.81M', 'longFmt': '171,810,060'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.730141, 'fmt': '1.73%'}",,"{'raw': 15.394676, 'fmt': '15.39%'}","{'raw': 28.5116, 'fmt': '28.51'}","{'raw': 23.6856, 'fmt': '23.69'}",,,,,TOR,ca,"{'raw': 28.151808, 'fmt': '28.15'}","{'raw': 28.7023, 'fmt': '28.70'}"
,0P0001QZ1W.TO,"{'raw': 0.56980133, 'fmt': '0.57'}","{'raw': 0.0, 'fmt': '0.00'}",,IG Mackenzie Global Consumer ComsJNL,"{'raw': 32.07154, 'fmt': '32.07'}","{'raw': 171810060.0, 'fmt': '171.81M', 'longFmt': '171,810,060'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.7265452, 'fmt': '1.73%'}",,"{'raw': 14.036775, 'fmt': '14.04%'}","{'raw': 33.5722, 'fmt': '33.57'}","{'raw': 28.0908, 'fmt': '28.09'}",,,,,TOR,ca,"{'raw': 33.18949, 'fmt': '33.19'}","{'raw': 33.8015, 'fmt': '33.80'}"
,0P0001QZ1U.TO,"{'raw': 0.7206001, 'fmt': '0.72'}","{'raw': 0.0, 'fmt': '0.00'}",,IG Mackenzie Global Consumer ComsB,"{'raw': 40.617382, 'fmt': '40.62'}","{'raw': 171810060.0, 'fmt': '171.81M', 'longFmt': '171,810,060'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.7258478, 'fmt': '1.73%'}",,"{'raw': 13.733494, 'fmt': '13.73%'}","{'raw': 42.474, 'fmt': '42.47'}","{'raw': 35.5925, 'fmt': '35.59'}",,,,,TOR,ca,"{'raw': 41.99968, 'fmt': '42.00'}","{'raw': 42.7653, 'fmt': '42.77'}"
0.0,0P0001HCI5.TO,"{'raw': 0.76719666, 'fmt': '0.77'}","{'raw': 0.4, 'fmt': '0.40'}","{'raw': 16.05783, 'fmt': '16.06%'}",Evolve Cyber Security Index Class F,"{'raw': 41.092373, 'fmt': '41.09'}","{'raw': 0.0, 'fmt': '0', 'longFmt': '0'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.7224929, 'fmt': '1.72%'}","{'raw': 43.30754, 'fmt': '43.31%'}","{'raw': 22.05708, 'fmt': '22.06%'}","{'raw': 45.3071, 'fmt': '45.31'}","{'raw': 33.8919, 'fmt': '33.89'}","{'raw': 26.52179, 'fmt': '26.52%'}","{'raw': 5.70573, 'fmt': '5.71%'}","{'raw': 24.67631, 'fmt': '24.68%'}",0.0,TOR,ca,"{'raw': 43.556976, 'fmt': '43.56'}","{'raw': 46.1658, 'fmt': '46.17'}"
,0P0001E2I4.TO,"{'raw': 0.37389946, 'fmt': '0.37'}","{'raw': 0.0, 'fmt': '0.00'}",,Dynamic Power American Growth Series FN,"{'raw': 18.430681, 'fmt': '18.43'}","{'raw': 1992952000.0, 'fmt': '1.993B', 'longFmt': '1,992,952,000'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.7214127, 'fmt': '1.72%'}",,"{'raw': 37.984787, 'fmt': '37.98%'}","{'raw': 22.0944, 'fmt': '22.09'}","{'raw': 12.6536, 'fmt': '12.65'}",,,,,TOR,ca,"{'raw': 21.033186, 'fmt': '21.03'}","{'raw': 22.0944, 'fmt': '22.09'}"
0.0,0P0001FC4E.TO,"{'raw': 0.26000023, 'fmt': '0.26'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 0.5589, 'fmt': '0.56%'}",CI International Equity Alpha Priv Pl I,"{'raw': 14.518548, 'fmt': '14.52'}","{'raw': 54677128.0, 'fmt': '54.677M', 'longFmt': '54,677,128'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.7203178, 'fmt': '1.72%'}","{'raw': 11.56609, 'fmt': '11.57%'}","{'raw': 5.406964, 'fmt': '5.41%'}","{'raw': 15.3735, 'fmt': '15.37'}","{'raw': 12.349, 'fmt': '12.35'}","{'raw': 9.58005, 'fmt': '9.58%'}","{'raw': -5.24474, 'fmt': '-5.24%'}","{'raw': 8.89536, 'fmt': '8.90%'}",0.0,TOR,ca,"{'raw': 15.034822, 'fmt': '15.03'}","{'raw': 15.3735, 'fmt': '15.37'}"
1.0,0P0001E2I3.TO,"{'raw': 0.29930115, 'fmt': '0.30'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 9.49526, 'fmt': '9.50%'}",Dynamic Power American Growth Series N,"{'raw': 14.820139, 'fmt': '14.82'}","{'raw': 1992952000.0, 'fmt': '1.993B', 'longFmt': '1,992,952,000'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.7202996, 'fmt': '1.72%'}","{'raw': 31.65254, 'fmt': '31.65%'}","{'raw': 36.37905, 'fmt': '36.38%'}","{'raw': 17.6975, 'fmt': '17.70'}","{'raw': 10.2056, 'fmt': '10.21'}","{'raw': 22.77227, 'fmt': '22.77%'}","{'raw': -50.99513, 'fmt': '-51.00%'}","{'raw': 62.41556, 'fmt': '62.42%'}",5.0,TOR,ca,"{'raw': 16.865007, 'fmt': '16.87'}","{'raw': 17.6975, 'fmt': '17.70'}"
,0P0001FC4D.TO,"{'raw': 0.26039982, 'fmt': '0.26'}","{'raw': 0.0, 'fmt': '0.00'}",,CI International Equity Alpha Priv Pl F,"{'raw': 14.611201, 'fmt': '14.61'}","{'raw': 54677128.0, 'fmt': '54.677M', 'longFmt': '54,677,128'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.7177563, 'fmt': '1.72%'}",,"{'raw': 5.516815, 'fmt': '5.52%'}","{'raw': 15.4197, 'fmt': '15.42'}","{'raw': 12.4534, 'fmt': '12.45'}",,,,,TOR,ca,"{'raw': 15.093766, 'fmt': '15.09'}","{'raw': 15.4197, 'fmt': '15.42'}"
,0P0001HCI4.TO,"{'raw': 0.7038994, 'fmt': '0.70'}","{'raw': 0.4, 'fmt': '0.40'}",,Evolve Cyber Security Index Class A,"{'raw': 37.877853, 'fmt': '37.88'}","{'raw': 0.0, 'fmt': '0', 'longFmt': '0'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.7175148, 'fmt': '1.72%'}",,"{'raw': 20.658815, 'fmt': '20.66%'}","{'raw': 41.6875, 'fmt': '41.69'}","{'raw': 31.3891, 'fmt': '31.39'}",,,,,TOR,ca,"{'raw': 40.12086, 'fmt': '40.12'}","{'raw': 42.5076, 'fmt': '42.51'}"
3.0,0P000076LX.TO,"{'raw': 1.2823029, 'fmt': '1.28'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 5.79502, 'fmt': '5.80%'}",Leith Wheeler Canadian Equity Series A,"{'raw': 70.8219, 'fmt': '70.82'}","{'raw': 5329598253.0, 'fmt': '5.33B', 'longFmt': '5,329,598,253'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.7159282, 'fmt': '1.72%'}","{'raw': 15.99865, 'fmt': '16.00%'}","{'raw': 10.987532, 'fmt': '10.99%'}","{'raw': 76.0117, 'fmt': '76.01'}","{'raw': 61.634, 'fmt': '61.63'}","{'raw': 14.19482, 'fmt': '14.19%'}","{'raw': -1.18545, 'fmt': '-1.19%'}","{'raw': 7.03405, 'fmt': '7.03%'}",4.0,TOR,ca,"{'raw': 74.92015, 'fmt': '74.92'}","{'raw': 76.1952, 'fmt': '76.20'}"
,0P0001SR8T.TO,"{'raw': 1.4393997, 'fmt': '1.44'}","{'raw': 0.0, 'fmt': '0.00'}",,0P0001SR8T.TO,"{'raw': 79.69886, 'fmt': '79.70'}","{'raw': 5329598253.0, 'fmt': '5.33B', 'longFmt': '5,329,598,253'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.714557, 'fmt': '1.71%'}",,"{'raw': 8.035982, 'fmt': '8.04%'}","{'raw': 85.3911, 'fmt': '85.39'}","{'raw': 69.3417, 'fmt': '69.34'}",,,,,TOR,ca,"{'raw': 84.20725, 'fmt': '84.21'}","{'raw': 85.6313, 'fmt': '85.63'}"
3.0,0P0001FC4C.TO,"{'raw': 0.25879955, 'fmt': '0.26'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 0.03645, 'fmt': '0.04%'}",CI International Equity Alpha Priv Pl A,"{'raw': 14.618688, 'fmt': '14.62'}","{'raw': 54677128.0, 'fmt': '54.677M', 'longFmt': '54,677,128'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.7143244, 'fmt': '1.71%'}","{'raw': 9.2641, 'fmt': '9.26%'}","{'raw': 5.5449367, 'fmt': '5.54%'}","{'raw': 15.3551, 'fmt': '15.36'}","{'raw': 12.4799, 'fmt': '12.48'}","{'raw': 7.70531, 'fmt': '7.71%'}","{'raw': -7.20108, 'fmt': '-7.20%'}","{'raw': 6.64014, 'fmt': '6.64%'}",3.0,TOR,ca,"{'raw': 15.046412, 'fmt': '15.05'}","{'raw': 15.3551, 'fmt': '15.36'}"
4.0,0P0000709T.TO,"{'raw': 1.4758987, 'fmt': '1.48'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 5.49587, 'fmt': '5.50%'}",Leith Wheeler d'actions canadiennes B,"{'raw': 81.841194, 'fmt': '81.84'}","{'raw': 5329598253.0, 'fmt': '5.33B', 'longFmt': '5,329,598,253'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.712859, 'fmt': '1.71%'}","{'raw': 11.57005, 'fmt': '11.57%'}","{'raw': 12.031519, 'fmt': '12.03%'}","{'raw': 87.6417, 'fmt': '87.64'}","{'raw': 71.2859, 'fmt': '71.29'}","{'raw': 13.13072, 'fmt': '13.13%'}","{'raw': 27.59688, 'fmt': '27.60%'}","{'raw': 19.05939, 'fmt': '19.06%'}",4.0,TOR,ca,"{'raw': 86.45106, 'fmt': '86.45'}","{'raw': 87.9292, 'fmt': '87.93'}"
,0P0001PUF3.TO,"{'raw': 0.23900032, 'fmt': '0.24'}","{'raw': 0.0, 'fmt': '0.00'}",,Langdon Canadian Smaller Companies F,"{'raw': 13.048115, 'fmt': '13.05'}","{'raw': 35058637.0, 'fmt': '35.059M', 'longFmt': '35,058,637'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.7071451, 'fmt': '1.71%'}",,"{'raw': 5.756092, 'fmt': '5.76%'}","{'raw': 14.239, 'fmt': '14.24'}","{'raw': 10.764, 'fmt': '10.76'}",,,,,TOR,ca,"{'raw': 14.17958, 'fmt': '14.18'}","{'raw': 14.479, 'fmt': '14.48'}"
,0P0001PUF2.TO,"{'raw': 0.23099995, 'fmt': '0.23'}","{'raw': 0.0, 'fmt': '0.00'}",,Langdon Canadian Smaller Companies A,"{'raw': 12.6936, 'fmt': '12.69'}","{'raw': 35058637.0, 'fmt': '35.059M', 'longFmt': '35,058,637'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.702786, 'fmt': '1.70%'}",,"{'raw': 4.8244953, 'fmt': '4.82%'}","{'raw': 13.797, 'fmt': '13.80'}","{'raw': 10.496, 'fmt': '10.50'}",,,,,TOR,ca,"{'raw': 13.75378, 'fmt': '13.75'}","{'raw': 14.043, 'fmt': '14.04'}"
2.0,0P0000GD75.TO,"{'raw': 0.01669997, 'fmt': '0.02'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 45.23844, 'fmt': '45.24%'}",Marquest Mutual Funds Inc. - Explorer Series Fund,"{'raw': 0.6932515, 'fmt': '0.69'}","{'raw': 9379956.0, 'fmt': '9.38M', 'longFmt': '9,379,956'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.6949122, 'fmt': '1.69%'}","{'raw': 29.08577, 'fmt': '29.09%'}","{'raw': 70.52417, 'fmt': '70.52%'}","{'raw': 1.002, 'fmt': '1.00'}","{'raw': 0.5026, 'fmt': '0.50'}","{'raw': 97.78918, 'fmt': '97.79%'}","{'raw': -38.5682, 'fmt': '-38.57%'}","{'raw': 116.9563, 'fmt': '116.96%'}",5.0,TOR,ca,"{'raw': 0.914942, 'fmt': '0.91'}","{'raw': 1.1324, 'fmt': '1.13'}"
2.0,0P0000GBRV.TO,"{'raw': 0.017499924, 'fmt': '0.02'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 45.38842, 'fmt': '45.39%'}",Marquest Mutual Funds Inc. - Explorer Series Fund,"{'raw': 0.7310605, 'fmt': '0.73'}","{'raw': 9379956.0, 'fmt': '9.38M', 'longFmt': '9,379,956'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.6797776, 'fmt': '1.68%'}","{'raw': 24.32602, 'fmt': '24.33%'}","{'raw': 70.909966, 'fmt': '70.91%'}","{'raw': 1.0593, 'fmt': '1.06'}","{'raw': 0.5304, 'fmt': '0.53'}","{'raw': 98.14815, 'fmt': '98.15%'}","{'raw': -39.40716, 'fmt': '-39.41%'}","{'raw': 122.5355, 'fmt': '122.54%'}",4.0,TOR,ca,"{'raw': 0.966438, 'fmt': '0.97'}","{'raw': 1.196, 'fmt': '1.20'}"
